repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
kevinsawicki/etag-cache,shb,7.96,367522.67,22.48,1.90,1084576.00,7,13.82,2.12,1248937.33,7,19.46,1.45,1238716.00,7
kevinsawicki/etag-cache,shbepoch,9.83,370810.67,17.52,2.54,930090.67,7,17.46,2.04,1258610.67,7,19.76,1.54,940552.00,7
kevinsawicki/http-request,fhb,5.82,355908.00,,,,0,,,,0,,,,0
kevinsawicki/http-request,hb,5.12,357433.33,,,,0,,,,0,,,,0
kevinsawicki/http-request,hbepoch,5.15,354644.00,,,,0,,,,0,,,,0
kevinsawicki/http-request,lockset,5.04,352565.33,,,,0,,,,0,,,,0
kevinsawicki/http-request,shb,4.98,378161.33,,,,0,,,,0,,,,0
kevinsawicki/http-request,shbepoch,2.88,366854.00,,,,0,,,,0,,,,0
kurbatov/firmata4j,fhb,8.49,298610.67,11.68,0.39,489076.00,2,8.61,0.23,496136.00,2,12.61,0.64,507308.00,2
kurbatov/firmata4j,goldilocks,8.36,281432.00,9.27,0.18,471625.33,2,9.19,0.22,490864.00,2,9.62,1.02,494526.67,2
